startup_id,industry,sub_industry,target_audience,customer_type,problem_solved,technology_used,business_model,revenue_model,market_size_category,market_growth_category,competition_level,founded_year,founded_country,geographic_market,total_funding_usd__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,funding_rounds__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,employee_count__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,startup_stage__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,success_label,success_indicator,leakage_warning
LL-010366,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),2004.0,United States,United States,111641664.0,4.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010367,Other / Unspecified,,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010373,DeepTech,Hardware|Software|Wireless,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,587140.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010381,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,Medium (dataset-derived),2007.0,India,India,15800000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010393,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United Kingdom,United Kingdom,2000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010409,Other / Unspecified,CRM|Mobile|Wireless,,,,,,,Unknown,Unknown,High (dataset-derived),2009.0,United States,United States,3000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010416,HealthTech,Health and Wellness,,,,,,,Unknown,Unknown,High (dataset-derived),1984.0,United States,United States,21102000.0,1.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010426,SaaS,Software,,,,,,,Unknown,Unknown,Low (dataset-derived),,Austria,Austria,2591800.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010433,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,796205.0,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010442,HealthTech,Doctors|Health Care Information Technology|Mobile Health|Personal Health,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010443,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,Medium (dataset-derived),1996.0,India,India,5000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010462,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,,,,553955.0,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010479,FinTech,Banking|Messaging|Mobile Payments|SMS,,,,,,,Unknown,Unknown,Low (dataset-derived),2010.0,Egypt,Egypt,54000000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010499,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,Unknown,,,,137757341.803352,5.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010503,AgriTech,Agriculture|Big Data|Drones,,,,,,,Unknown,Unknown,Medium (dataset-derived),,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010504,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,746000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010510,DeepTech,Hardware + Software|Mobile|Photo Sharing|Wireless,,,,,,,Unknown,Unknown,Low (dataset-derived),2008.0,Japan,Japan,44525.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010535,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,790832.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010555,HealthTech,Health Care|Hospitals|Medical,,,,,,,Unknown,Unknown,High (dataset-derived),2007.0,United States,United States,,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010559,FinTech,Banking,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,12000000.0,1.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010560,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,13000000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010594,SaaS,Mobile|Software|Wireless,,,,,,,Unknown,Unknown,High (dataset-derived),1997.0,United States,United States,500000.0,1.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010620,Media & Entertainment,Social Media,,,,,,,Unknown,Unknown,High (dataset-derived),,China,China,15000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010640,SaaS,Curated Web,,,,,,,Unknown,Unknown,High (dataset-derived),1999.0,United States,United States,6084516.0,2.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010644,SaaS,Engineering Firms|Real Time|Software,,,,,,,Unknown,Unknown,Medium (dataset-derived),,India,India,286509.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010664,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,,,,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010666,SaaS,Crowdsourcing|Software,,,,,,,Unknown,Unknown,High (dataset-derived),2009.0,Canada,Canada,1500000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010669,Media & Entertainment,Games|Teenagers|Virtual Worlds,,,,,,,Unknown,Unknown,Medium (dataset-derived),2002.0,France,France,530000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010690,E-commerce,E-Commerce,,,,,,,Unknown,Unknown,High (dataset-derived),2005.0,United States,United States,3000000.0,1.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010708,SaaS,Analytics|Collaboration|Curated Web|Data Visualization|Freemium|Mobile,,,,,,,Unknown,Unknown,High (dataset-derived),2013.0,United States,United States,4550000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010710,Other / Unspecified,Venture Capital,,,,,,,Unknown,Unknown,High (dataset-derived),1982.0,United States,United States,30000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010717,HealthTech,Health Care,,,,,,,Unknown,Unknown,High (dataset-derived),1995.0,United States,United States,8790112.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010724,TravelTech,Leisure|Travel|Travel & Tourism,,,,,,,Unknown,Unknown,Low (dataset-derived),,Peru,Peru,50000.0,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010729,Media & Entertainment,Apps|Photography|Social Media,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,2050000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010749,Other / Unspecified,Messaging,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,200000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010756,HealthTech,Biotechnology|Medical,,,,,,,Unknown,Unknown,High (dataset-derived),2015.0,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010792,Other / Unspecified,Photo Sharing,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,France,France,6790377.28090659,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010820,MarTech,Sales and Marketing|Technology|Web Development,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,1000000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010830,Other / Unspecified,Manufacturing,,,,,,,Unknown,Unknown,High (dataset-derived),,China,China,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010857,Other / Unspecified,Events|Information Technology|Storage,,,,,,,Unknown,Unknown,High (dataset-derived),2015.0,United States,United States,1200000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010875,E-commerce,E-Commerce|Fashion|File Sharing|Lifestyle|Social Commerce|Women,,,,,,,Unknown,Unknown,Medium (dataset-derived),2010.0,Spain,Spain,800000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010891,HealthTech,Health Care,,,,,,,Unknown,Unknown,High (dataset-derived),1913.0,United States,United States,19000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010910,E-commerce,Retail,,,,,,,Unknown,Unknown,Unknown,2003.0,,,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010935,SaaS,Curated Web|Internet,,,,,,,Unknown,Unknown,Medium (dataset-derived),1997.0,China,China,40790797.0,1.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010937,SaaS,Enterprise Software,,,,,,,Unknown,Unknown,Medium (dataset-derived),2000.0,China,China,10970000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010971,Media & Entertainment,Mobile Games,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,United States,United States,8592310.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010975,FinTech,Consumers|Design|Financial Services,,,,,,,Unknown,Unknown,Unknown,2001.0,,,1100000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010982,Other / Unspecified,Mobile,,,,,,,Unknown,Unknown,High (dataset-derived),2009.0,United States,United States,2565000.0,2.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010996,EdTech,K-12 Education|Online Education|Search|Semantic Search|Teaching STEM Concepts,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,100000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-010997,Other / Unspecified,Shoes|Sports,,,,,,,Unknown,Unknown,Medium (dataset-derived),2013.0,Australia,Australia,28753.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011002,FoodTech,Consumers|Hospitality|Restaurants|Technology,,,,,,,Unknown,Unknown,Low (dataset-derived),2011.0,Singapore,Singapore,11386668.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011016,Other / Unspecified,Jewelry|Mens Specific|Wearables,,,,,,,Unknown,Unknown,High (dataset-derived),2013.0,United Kingdom,United Kingdom,,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011026,EdTech,Education,,,,,,,Unknown,Unknown,High (dataset-derived),2010.0,United States,United States,9700000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011029,FinTech,Anything Capital Intensive|Finance|Investment Management,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,142200000.0,6.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011043,Other / Unspecified,iOS|Location Based Services|Mobile|Reviews and Recommendations,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,United States,United States,,2.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011057,Other / Unspecified,Manufacturing,,,,,,,Unknown,Unknown,Unknown,,,,10000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011064,Media & Entertainment,Games|Video Streaming,,,,,,,Unknown,Unknown,Unknown,2008.0,,,500000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011081,MarTech,Analytics|Artificial Intelligence|Business Intelligence|Data Mining|Knowledge Management|Sales and Marketing|Small and Medium Businesses|Software,,,,,,,Unknown,Unknown,Low (dataset-derived),2009.0,Jordan,Jordan,21000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011103,EdTech,Consulting|Design|Digital Media|Education|Games|Kids|New Product Development|Toys,,,,,,,Unknown,Unknown,Medium (dataset-derived),2007.0,Canada,Canada,42245.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011115,DeepTech,Semiconductors,,,,,,,Unknown,Unknown,High (dataset-derived),1989.0,United States,United States,818750.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011132,Media & Entertainment,Entertainment|Film,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,325000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011133,Media & Entertainment,Content Creators,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,United States,United States,6775000.0,5.0,,Growth stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011157,Media & Entertainment,Content|E-Commerce|Mobile|Social Commerce|Social Media|Video,,,,,,,Unknown,Unknown,High (dataset-derived),2007.0,United States,United States,42193000.0,5.0,,Growth stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011175,SaaS,Enterprise Software,,,,,,,Unknown,Unknown,High (dataset-derived),2007.0,United Kingdom,United Kingdom,1798555.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011199,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,United States,United States,250000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011207,FinTech,Financial Services|Mobile|Publishing,,,,,,,Unknown,Unknown,Unknown,,,,2000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011211,Other / Unspecified,Manufacturing,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011221,CleanTech,Chemicals|Clean Technology|Energy,,,,,,,Unknown,Unknown,High (dataset-derived),2007.0,United States,United States,48900000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011222,E-commerce,E-Commerce|Fashion|Mobile Commerce,,,,,,,Unknown,Unknown,Low (dataset-derived),2014.0,Netherlands,Netherlands,499184.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011226,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2013.0,United States,United States,3028000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011246,MarTech,Brand Marketing|Content Delivery|Content Syndication|Mobile|SaaS,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,2800000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011253,DeepTech,Hardware + Software,,,,,,,Unknown,Unknown,Medium (dataset-derived),,France,France,2260000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011255,Media & Entertainment,Content|Digital Media|Promotional,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United Kingdom,United Kingdom,131465.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-011260,Other / Unspecified,Consumers|CRM|Mobile|SMS,,,,,,,Unknown,Unknown,Low (dataset-derived),2011.0,Mexico,Mexico,180000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
